,01_Kingdom,02_Subkingdom,03_Infrakingdom,04_Superdivision,05_Division,06_Subdivision,07_Class,08_Superorder,09_Order,10_Family,11_Genus,12_Species,treename,tsn,08_Subclass,13_Variety,14_Variety,15_Variety,16_Variety,13_Subspecies,14_Subspecies,17_Variety,18_Variety,19_Variety,01_Species
0,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Fagales,Fagaceae,Quercus,Quercus montana,Chestnut Oak,19379,,,,,,,,,,,
1,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Fagales,Fagaceae,Quercus,Quercus phellos,Willow Oak ,19282,,,,,,,,,,,
2,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Fagales,Fagaceae,Quercus,Quercus alba,white oak,19290,,,,,,,,,,,
3,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Malpighiales,Salicaceae,Salix,Salix nigra,Black Willow,22484,,,,,,,,,,,
4,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Fagales,Juglandaceae,Juglans,Juglans nigra,Eastern Black Walnut,19254,,,,,,,,,,,
5,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Magnolianae,Laurales,Lauraceae,Lindera,Lindera benzoin,Spicebush,18147,,,,,,,,,,,
6,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Asteranae,Ericales,Ericaceae,Oxydendrum,Oxydendrum arboreum,Sourwood,23690,,,,,,,,,,,
7,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Pinopsida,,Pinales,Taxaceae,Taxus,Taxus baccata,Yew,194883,Pinidae,,,,,,,,,,
8,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Rosales,Rosaceae,Prunus,Prunus serotina,Black Cherry ,24764,,Prunus serotina var. alabamensis,Prunus serotina var. rufula,Prunus serotina var. salicifolia,Prunus serotina var. serotina,,,,,,
9,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Fagales,Betulaceae,Betula,Betula lenta,Sweet Birch,19487,,,,,,,,,,,
10,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Fagales,Betulaceae,Betula,Betula alleghaniensis,Yellow Birch,19481,,,,,,,,,,,
11,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Fagales,Juglandaceae,Carya,Carya cordiformis,Bitternut Hickory,19227,,,,,,,,,,,
12,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Fagales,Juglandaceae,Carya,Carya ovata,Shagbark Hickory ,19242,,Carya ovata var. australis,Carya ovata var. ovata,,,,,,,,
13,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Fagales,Juglandaceae,Carya,Carya tomentosa,Mockernut Hickory,19247,,,,,,,,,,,
14,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Fagales,Juglandaceae,Carya,Carya glabra,Pignut Hickory,19231,,,,,,,,,,,
15,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Fagales,Betulaceae,Carpinus,Carpinus caroliniana,American Hornbeam,19504,,,,,,Carpinus caroliniana ssp. caroliniana,Carpinus caroliniana ssp. virginiana,,,,
16,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Fagales,Betulaceae,Ostrya,Ostrya virginiana,Eastern Hop-hornbeam,19511,,,,,,,,,,,
17,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Fagales,Fagaceae,Castanea,Castanea dentata,American Chestnut ,19454,,,,,,,,,,,
18,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Sapindales,Sapindaceae,Acer,Acer saccharum,Sugar Maple,28731,,Acer saccharum var. saccharum,Acer saccharum var. schneckii,,,,,,,,
19,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Sapindales,Sapindaceae,Acer,Acer rubrum,Red Maple,28728,,Acer rubrum var. drummondii,Acer rubrum var. rubrum,Acer rubrum var. trilobum,,,,,,,
20,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Sapindales,Sapindaceae,Acer,Acer saccharinum,Silver Maple ,28757,,,,,,,,,,,
21,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Asteranae,Lamiales,Oleaceae,Fraxinus,Fraxinus pennsylvanica,Green Ash,32929,,,,,,,,,,,
22,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Rosales,Moraceae,Maclura,Maclura pomifera,Osage-Orange ,19102,,,,,,,,,,,
23,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Sapindales,Sapindaceae,Acer,Acer negundo,Box Elder ,28749,,Acer negundo var. arizonicum,Acer negundo var. californicum,Acer negundo var. interius,Acer negundo var. mexicanum,,,Acer negundo var. negundo,Acer negundo var. texanum,Acer negundo var. violaceum,
24,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Asteranae,Cornales,Nyssaceae,Nyssa,Nyssa sylvatica,Black Tupelo,27821,,,,,,,,,,,
25,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Saxifraganae,Saxifragales,Altingiaceae,Liquidambar,Liquidambar styraciflua,Sweetgum,19027,,,,,,,,,,,
26,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Fabales,Fabaceae,Gleditsia,Gleditsia triacanthos,Honey Locust ,26714,,,,,,,,,,,
27,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Pinopsida,,Pinales,Pinaceae,Pinus,Pinus taeda,Loblolly Pine,18037,Pinidae,,,,,,,,,,
28,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Pinopsida,,Pinales,Pinaceae,Pinus,Pinus strobus,Eastern White Pine,183385,Pinidae,,,,,,,,,,
29,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Pinopsida,,Pinales,Pinaceae,Pinus,Pinus palustris,Longleaf Pine,18038,Pinidae,,,,,,,,,,
30,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Pinopsida,,Pinales,Pinaceae,Pinus,Pinus echinata,Shortleaf Pine ,183335,Pinidae,,,,,,,,,,
31,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Pinopsida,,Pinales,Pinaceae,Pinus,Pinus virginiana,Virginia Pine ,183394,Pinidae,,,,,,,,,,
32,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Pinopsida,,Pinales,Cupressaceae,Juniperus,Juniperus virginiana,Eastern Red Cedar,18048,Pinidae,Juniperus virginiana var. silicicola,Juniperus virginiana var. virginiana,,,,,,,,
33,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Pinopsida,,Pinales,Pinaceae,Tsuga,Tsuga canadensis,Eastern Hemlock,183397,Pinidae,,,,,,,,,,
34,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Pinopsida,,Pinales,Cupressaceae,Taxodium,Taxodium distichum,Bald Cypress,18041,Pinidae,Taxodium distichum var. distichum,Taxodium distichum var. imbricarium,,,,,,,,
35,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Fagales,Betulaceae,Betula,Betula lenta,sweet birch,19487,,,,,,,,,,,
36,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Fagales,Fagaceae,Fagus,Fagus grandifolia,American beech,19462,,,,,,,,,,,
37,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Rosales,Rosaceae,Prunus,Prunus americana,American Wild Plum,24763,,,,,,,,,,,
38,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Rosales,Rosaceae,Malus,Malus coronaria,Sweet Crabapple,25257,,,,,,,,,,,
39,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Rosales,Rosaceae,Crataegus,Crataegus crus-galli,Cockspur Hawthorn,24552,,Crataegus crus-galli var. crus-galli,Crataegus crus-galli var. pyracanthifolia,Crataegus crus-galli var. regalis,,,,,,,
40,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Fagales,Fagaceae,Quercus,Quercus virginiana,Southern Live Oak,19283,,,,,,,,,,,
41,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Fagales,Fagaceae,Quercus,Quercus rubra,northern red oak,19408,,,,,,,,,,,
42,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Fagales,Fagaceae,Quercus,Quercus falcata,Southern Red Oak,19277,,,,,,,,,,,
43,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Fagales,Fagaceae,Quercus,Quercus velutina,Black Oak,19447,,,,,,,,,,,
44,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Fagales,Fagaceae,Quercus,Quercus nigra,Water Oak,19280,,,,,,,,,,,
45,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Rosales,Ulmaceae,Ulmus,Ulmus americana,American elm,19049,,,,,,,,,,,
46,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Rosales,Ulmaceae,Ulmus,Ulmus rubra,Slippery Elm,19050,,,,,,,,,,,
47,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Rosales,Moraceae,Morus,Morus rubra,Red Mulberry,19070,,,,,,,,,,,
48,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Magnolianae,Magnoliales,Magnoliaceae,Liriodendron,Liriodendron tulipifera,tulip poplar,18086,,,,,,,,,,,
49,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Magnolianae,Magnoliales,Magnoliaceae,Magnolia,Magnolia fraseri,Fraser Magnolia,18073,,,,,,,,,,,
50,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Magnolianae,Laurales,Lauraceae,Sassafras,Sassafras albidum,Sassafras,18158,,,,,,,,,,,
51,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Proteanae,Proteales,Platanaceae,Platanus,Platanus occidentalis,American sycamore,19020,,,,,,,,,,,
52,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Magnolianae,Magnoliales,Annonaceae,Asimina,Asimina triloba,Common Pawpaw 44,18117,,,,,,,,,,,
53,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Saxifraganae,Saxifragales,Altingiaceae,Liquidambar,Liquidambar styraciflua,American sweetgum,19027,,,,,,,,,,,
54,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Rosales,Rosaceae,Amelanchier,Amelanchier arborea,Downy Serviceberry,25110,,,,,,,,,,,
55,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Fabales,Fabaceae,Cercis,Cercis canadensis,Eastern Redbud,25782,,Cercis canadensis var. canadensis,Cercis canadensis var. mexicana,Cercis canadensis var. texensis,,,,,,,
56,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Asteranae,Cornales,Cornaceae,Cornus,Cornus florida,flowering dogwood,27806,,,,,,,,,,,
57,,,,,,,,,,,,,yellow buckeye,28717,,,,,,,,,,,Aesculus flava
58,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus ovata,Black Gum,835085,,,,,,,,,,,
59,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Asteranae,Cornales,Nyssaceae,Nyssa,Nyssa aquatica,Water Tupelo,27824,,,,,,,,,,,
60,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Asteranae,Ericales,Ebenaceae,Diospyros,Diospyros virginiana,American persimmon,23855,,,,,,,,,,,
61,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Asteranae,Lamiales,Oleaceae,Fraxinus,Fraxinus americana,white ash,32931,,,,,,,,,,,
62,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Asteranae,Lamiales,Oleaceae,Fraxinus,Fraxinus pennsylvanica,green ash,32929,,,,,,,,,,,
